catalogs,name,unit,brand,taxonomy,description,discount,hsn_code,search_keywords,featured_product,allow_cod,product_image_1,product_image_2,product_image_3,product_image_4,variant_1_name,variant_1_value,variant_2_name,variant_2_value,variant_3_name,variant_3_value,variant_image_1,variant_image_2,variant_image_3,variant_image_4,sku,selling_price,discounted_price,stock,shipping_weight,tax_percentage,add_ons,addon_mandatory,size_chart,image_tags,tag_1_name,tag_1_value,tag_2_name,tag_2_value,tag_3_name,tag_3_value,footnote_1_name,footnote_1_value,footnote_2_name,footnote_2_value,footnote_3_name,footnote_3_value
,,,,,,,,,,,,,,,Size,L,Colour,Blue,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00001-16,4900,4700,10,1,5,,,,,,,,,,,,,,,,
"Fabric,Apparel",Blue Shirt Fabric,Mts,Linen Club,,This is a test description,No,YS3873,"Shirt, Raymond, Cotton",No,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807455-266651.jpeg,,,,Size,S,Colour,Red,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-1,3000,3000,23,3,10,Custom Shirt,Yes,Shirt,"Trending, New Arrival",Print or Pattern Type,"Solid,Faded,Micro Checks",Occasion,"Formal, Party Wear",Fabric,"Cotton,Nylon",Wash Care,Dry Wash,Colour,Blue,,
,,,,,,,,,,,,,,,Size,S,Colour,Red,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-2,3200,3200,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Green,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-3,3400,3400,10,2,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Green,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-4,3600,3600,23,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Blue,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-5,3800,3800,10,1,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,S,Colour,Blue,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-6,4000,4000,24,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Red,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-7,4200,4200,10,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Red,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-8,4400,4400,10,2,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Green,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-9,4600,4600,23,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Green,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-10,4800,4800,10,2,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Blue,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-11,5000,5000,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,M,Colour,Blue,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-12,5200,5200,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Red,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-13,5400,5400,34,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Red,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-14,5600,5600,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Green,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-15,5800,5800,10,1,10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Green,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-16,6000,6000,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Blue,Pocket,Yes,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-17,6200,6200,10,1,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Size,L,Colour,Blue,Pocket,No,uploads/5d0ca4c89f21de0314f98f24/products/1572855807509-378966.jpeg,,,,TD00002-18,6400,6400,10,1,5,,,,,,,,,,,,,,,,
